Participant ID,Timing,Timing Follow,E. Why Timing Text
R_2zPlNCUbZ8JpWZB,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️ Version 2,Consideration for my and others' safety
R_8jqw8UHg9aIIDRI,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️ Version 2,when I stop I don't have to focus on the traffic for a short while and can decide whether I should read the message or not
R_73f3igIb2AiZZTg,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️ Version 2,"If it's urgent/important 'Lily' may choose to spam message the recipient, so it's safer for it to get delayed until one stops moving. The second version still gives enough information (name)."
R_8JCx6iV1TX1qGQN,"After I reach a safe stopping point (e.g., at a traffic light)",🗣️ Version 2,"Wenn ich bereits sicher stehe (an einer Ampel etc.), ist die Unfallgefahr schon deutlich geringer als beim Fahren. Das Verkehrsgeschehen beansprucht weniger Aufmerksamkeit als während der Fahrt. Trotzdem kann es jederzeit weitergehen (Ampel schaltet auf grün etc.). Also möchte ich allenfalls kurz abgelenkt werden. Anhand des Namens, der bei Version 2 vorgelesen wird, kann ich entscheiden, ob ich mich kurzzeitig ganz aus dem Verkehrsgeschehen zurückziehe (rechts ranfahre, absteige etc.) und die Nachricht lese und ggf. beantworte. Diese Information fehlt bei Version 1. Version 3 wiederum beanspruchte meine Aufmerksamkeit und Konzentration dagegen möglicherweise länger, als der verkehrsbedingte Halt andauerte."
R_8M5L4td0YhESZrq,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Wenn eine Benachrichtigung wichtig genug ist, dann soll sie auch direkt erfolgen."
R_2X0TJXeOLFuPfSN,Immediately,🗣️🗣️ Version 3,It seems like the street is empty and there are no distractions so its best if the notification is displayed at that moment and in full text. 
R_2FFYkvIS1B2cJA8,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Same as before - I would want to hear it directly, since it is urgent."
R_2L5aIHwYDvaCUSB,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",No reason to delay
R_2llCBFJ5a18v30L,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",it is okay to recieve şmmadiately if I will know the sender and the massage 
R_2j8rLZgGyZGgQoj,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","Just tell me now, I might be cycling for a while and wont be able to see the message otherwise, before its too late."
R_25HmpH2IIzw051s,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I'm not in a situation that requires my full (auditory) concentration, so I can listen to the message immediately"
R_9hzrjMgz9jctbPT,Immediately,🗣️🗣️ Version 3,"I want it immediately because as a person whos not really paying attention to my phone or notification and always misses out some of the messages, i need to know if the message is urgent or needs attention immediately. And i chose Version 3 for delays because its easier for me to still know what the message are without having to approved a request or check back what the message that was sent to me are, its already been summarized in one."
R_8q9Kfy21k0hl6rF,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).",It dosen't disturb me
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,I dont want to be interrupted by this kind of message. 
R_8vYaPDZjNmVualU,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,"I could get distracted, notification has the most information"
R_8kgNWKVqvoxXNDa,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,Good timing to listen to the full content
R_8lxiIAjgBh6nS81,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,"Well it's not a delay, that just seems like the situation that is depicted."
R_8Fa2s5gQHqby1xu,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,easiest
R_2aNAGlZgflVtY3v,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,same as last but with a little bit more safety for my live and surroundings 
R_8CDe1vDEJ4aMR4g,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,"I don't want to be distracted when there is a chance of me being hit with a car or me hitting a pedestrian, a few second delay is perfect"
R_8TFKoOgxzhVrDgZ,When I am not actively crossing a street or making a decision about movement,🗣️ Version 2,"Wenn ich schon eine Nachricht im straßenverkehr bekomme, dann am besten, wenn es nicht gerade in einer Situation ist, bei der ich gravierende Fehler wegen Ablenkung machen könnte. Und Version 2, weil ich wissen möchte von wem, aber nicht den Text hören möchte."
R_2bZQT5azTZaKdY5,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,It's ASAP without putting you in any danger by distracting you in an important moment.
R_8fj5FFM9mYzJUIB,When I am not actively crossing a street or making a decision about movement,🗣️ Version 2,"Traffic can be dangerous, but I think being notified is not that deep"
R_6neGB6qI64zhSKo,When I am not actively crossing a street or making a decision about movement,🗣️🗣️ Version 3,"As long as I am not actively making a decision about crossing a street or turning, I would want to hear that notification as soon as possible as long as the road is clear. I would still want to have the whole message be read out as I am biking and won't be able to take my phone out immediately."
