Participant ID,Timing,Timing Follow,B. Why Timing Text
R_8jqw8UHg9aIIDRI,"Later, when the meeting is over",🗣️ Version 2,"I can check my notifications when I'm not interacting with my coworkers and the meeting is finished. Dependig on how urgent my next task is, I can decide whether I should start this task now or check the message from Lilly first"
R_8fj5FFM9mYzJUIB,"Later, when the meeting is over",🗣️ Version 2,I don'T want to be disturbed and I think it is impolite 
R_8JCx6iV1TX1qGQN,"Later, when the meeting is over",🗣️🗣️ Version 3,"Weil das Meeting meine gesamte Aufmerksamkeit beansprucht und aus Respekt zur den Kollegen und Vorgesetzten, will ich gar nicht gestört werden. Die Arbeit hat hier einfach Priorität. Am lieben wäre mir eine Benachrichtigung, sobald das Meeting beendet ist und ich vom Konferenzraum wieder in mein Büro zurückkehre. Auf dem Weg habe ich genug Kapazitäten, um mir sowohl den Absender als auch die Nachricht anzuhören. Daher würde mich Version 3 auch nicht stören. Da Version 3 mehr Informationen als Version 2 und Version 1 enthält, wäre sie in dieser Zeitspanne ideal."
R_82PiWLNvqNB0Q5a,Other:,🔔 Version 1,"After the meeting is over and I have maybe done some short follow-up tasks and have a little time to sit down and check my phone, I would prefer a brief reminder that I do have some new messages. Generally, in this context I think that I would not even need a notification via the smart glasses because I would see the pop up on my phone screen."
R_2qJWwhP8L0JTDwc,Other:,🔔 Version 1,need to focus on meeting during a meeting
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,I dont want to be interrupted by this kind of message
R_8mXGSIvo1Rmwtal,Other:,"Not applicable (I chose ""Immediately"" in the previous question).",I see no reasoning for audio messages in general.
R_8M5L4td0YhESZrq,When I am not speaking and there is a natural break in conversation,🗣️🗣️ Version 3,Weil eine Besprechung ja durchaus auch wichtig sein kann und man dann die ein bis zwei Minuten bis zur nächsten Pause auch warten kann. Bzw könnte man vorher eh nicht antworten oder sich kurz vor die Tür entschuldigen.
R_8vYaPDZjNmVualU,When I am not speaking and there is a natural break in conversation,🗣️🗣️ Version 3,Too disruptive in meeting situation
R_8DJWwh7dfICB7Db,When I am not speaking and there is a natural break in conversation,🔔 Version 1,It won’t disrupt the meeting.
R_2llCBFJ5a18v30L,When I am not speaking and there is a natural break in conversation,🗣️ Version 2,"it would be less distractive in a natural break time, but still only knowing who send the massage is enough information in this stiuation"
R_2bZQT5azTZaKdY5,When I am not speaking and there is a natural break in conversation,🗣️ Version 2,"Timing is ASAP without actually being disruptive. Vers2 is shorter than a full WhatsApp audio butallows you to decide whether ""Lily"" is important enough to get your phone out for. (If delaying the message accurately isnt possible, I'd choose vrs1)"
R_6neGB6qI64zhSKo,When I am not speaking and there is a natural break in conversation,🔔 Version 1,"I believe a slight delay (up to a couple seconds to a minute) would be acceptable so that the notification doesn't overlap with an on-going conversation. Any longer than that though, and I might miss out on an important / time sensitive message. I would still prefer version 1, however, as I would need to look at my phone anyways to respond so I rather have a shorter audio notification to limit potential distractions."
