Participant ID,Timing,Timing Follow,I. Why Timing Text
R_6neGB6qI64zhSKo,Immediately,"Not applicable (I chose ""Immediately"" in the previous question).","I would still like to know right away that I have a notification so Version 1 feels most appropriate that alerts me I have something to look at later, but doesn't give too much information where I am getting distracted from the on-going conversation and hang out."
R_2X0TJXeOLFuPfSN,"Later, after Jessica has left / our hangout is over",🗣️🗣️ Version 3,"While the person was silent for a second and the glasses maybe deduced that the pause was appropriate to display the notification, I think it is really hard to predict when the other person might start speaking again, and there is a risk of me loosing track of the conversation because of the second and third notifications. "
R_2dssgsqa4HHmfgN,"Later, after Jessica has left / our hangout is over",🗣️🗣️ Version 3,"After we finished talking, I preferred option 3 since I no longer had to worry about social etiquette or interrupting someone, allowing me to get the full information right away."
R_2zPlNCUbZ8JpWZB,"Later, after Jessica has left / our hangout is over",🗣️ Version 2,Social appropriateness
R_2dh2IXdUglu1uYV,"Later, after Jessica has left / our hangout is over",🗣️ Version 2,gives me enough info without forcing too much info on me
R_2aNAGlZgflVtY3v,"Later, after Jessica has left / our hangout is over",🗣️🗣️ Version 3,because no it douesnt interrupt the conversation animore
R_8TFKoOgxzhVrDgZ,"Later, after Jessica has left / our hangout is over",🗣️🗣️ Version 3,"Wie zuvor erwähnt möchte ich meinen Fokus auf mein Gegenüber legen und nicht disruptiv unterbrochen werden. Für kurze Nachrichten präferiere ich jedoch immer noch, dass die Nachricht kurz vorgelesen wird."
R_8jqw8UHg9aIIDRI,"Later, after Jessica has left / our hangout is over",🗣️ Version 2,"I don't want to disrespect my friend, so I wait till we're done with the hangout. I'm ready to receive notifications after that and again would prefer not to hear the entire message so I can decide when the right time comes"
R_2qJWwhP8L0JTDwc,Other:,🔔 Version 1,i always keep my phone on silent mode when with friends
R_8TZerhduC2hcnKy,Other:,🗣️🗣️ Version 3,I dont want to be interrupted by this kind of message
