Participant ID,Overall,D. Why Text
R_8fj5FFM9mYzJUIB,🗣️ Version 2,I know who is texting
R_8M5L4td0YhESZrq,🗣️🗣️ Version 3,Man hat ja gerade die Hände voll.
R_8DJWwh7dfICB7Db,🗣️🗣️ Version 3,Suitable for this noisy environment
R_8uqW68lNo50I4DJ,🗣️🗣️ Version 3,"I'm not doing a mentally demanding task, and I'm only with my friends. So I wouldn't mind having the text message read out. "
R_8eXdWDp0BXIS3ih,🗣️🗣️ Version 3,immediate information
R_81THo4xsUVpXXcB,🗣️🗣️ Version 3,"since this is an important message and i can just stop what im doing for 2 seconds and answer back, it is okay in this scenerio"
R_8Fa2s5gQHqby1xu,🗣️🗣️ Version 3,easy and doesnt bother that much
R_2llCBFJ5a18v30L,🗣️🗣️ Version 3,"all are okay actually since it is just a phisical work, but it is easier to know the content"
R_2aNAGlZgflVtY3v,🗣️🗣️ Version 3,because i dont have to interrupt waht i do to read the messages 
R_8CDe1vDEJ4aMR4g,🗣️🗣️ Version 3,my hands are busy and a quick question suits better
R_2bZQT5azTZaKdY5,🗣️🗣️ Version 3,Allows you to continue working on the tent
R_9hzrjMgz9jctbPT,🗣️🗣️ Version 3,I wanna know the whole message still if its urgent and needs immediate attention or not. Im highly vigilant and sensitive to messages so id rather still choose Version 3
R_8q9Kfy21k0hl6rF,🗣️🗣️ Version 3,Because it doesent disturb and I can not grab by phone
R_8JCx6iV1TX1qGQN,🗣️🗣️ Version 3,"Version 1 hätte ich bei den Hintergrundgeräuschen (Musik) höchstwahrscheinlich überhört. Version 2 und 3 waren trotz der Musik gut zu verstehen. Beide Versionen haben mich auch nicht sonderlich abgelenkt, jedenfalls nicht mehr als es die Musik getan hat. Die Aktivität (Zelt aufbauen) hat nicht so viel Konzentration abverlangt, sodass ich mich weder von Version 2 noch von Version 3 abgelenkt gefühlt habe. Vielmehr fände ich es hier sogar ganz hilfreich, wenn die kurze Nachricht vorgelesen wird: Um festzustellen, ob die Nachricht wichtig und dringlich ist, hätte ich die Arbeit jedenfalls kurz unterbrechen müssen. Dadurch hätten auch die anderen beiden den Zeltaufbau unterbrechen bzw. nicht fortsetzen können, da wir offenbar ""zusammenarbeiten"". Wird die Nachricht dagegen gleich mit vorgelesen, weiß ich direkt, worum es geht und ob die Nachricht so wichtig und dringlich ist, dass sich die Unterbrechung (auch der anderen) lohnt oder nicht."
R_6neGB6qI64zhSKo,🗣️🗣️ Version 3,"As I am actively doing something and might not be able to pick up my phone in that moment, this is a case where I would prefer the glasses read out the entire message so I know what the notification is about."
